"id_municipio","Município","Destino do lixo","house_income_BRL"
"1100015","Alta Floresta D'Oeste (RO)","Total","1310.78"
"1100023","Ariquemes (RO)","Total","1849.30"
"1100031","Cabixi (RO)","Total","1232.03"
"1100049","Cacoal (RO)","Total","1853.64"
"1100056","Cerejeiras (RO)","Total","1573.62"
"1100064","Colorado do Oeste (RO)","Total","1518.89"
"1100072","Corumbiara (RO)","Total","1188.16"
"1100080","Costa Marques (RO)","Total","1225.56"
"1100098","Espigão D'Oeste (RO)","Total","1455.66"
"1100106","Guajará-Mirim (RO)","Total","1646.55"
"1100114","Jaru (RO)","Total","1486.35"
"1100122","Ji-Paraná (RO)","Total","1964.60"
"1100130","Machadinho D'Oeste (RO)","Total","1161.47"
"1100148","Nova Brasilândia D'Oeste (RO)","Total","1186.40"
"1100155","Ouro Preto do Oeste (RO)","Total","1700.70"
"1100189","Pimenta Bueno (RO)","Total","1901.67"
"1100205","Porto Velho (RO)","Total","2643.47"
"1100254","Presidente Médici (RO)","Total","1376.17"
"1100262","Rio Crespo (RO)","Total","1299.56"
"1100288","Rolim de Moura (RO)","Total","1659.54"
"1100296","Santa Luzia D'Oeste (RO)","Total","1356.63"
"1100304","Vilhena (RO)","Total","2127.82"
"1100320","São Miguel do Guaporé (RO)","Total","1158.88"
"1100338","Nova Mamoré (RO)","Total","1068.44"
"1100346","Alvorada D'Oeste (RO)","Total","1355.93"
"1100379","Alto Alegre dos Parecis (RO)","Total","1026.31"
"1100403","Alto Paraíso (RO)","Total","1273.90"
"1100452","Buritis (RO)","Total","1293.36"
"1100502","Novo Horizonte do Oeste (RO)","Total","1093.58"
"1100601","Cacaulândia (RO)","Total","1467.37"
"1100700","Campo Novo de Rondônia (RO)","Total","1057.46"
"1100809","Candeias do Jamari (RO)","Total","1385.87"
"1100908","Castanheiras (RO)","Total","1307.89"
"1100924","Chupinguaia (RO)","Total","1453.00"
"1100940","Cujubim (RO)","Total","1453.64"
"1101005","Governador Jorge Teixeira (RO)","Total","1189.06"
"1101104","Itapuã do Oeste (RO)","Total","1237.89"
"1101203","Ministro Andreazza (RO)","Total","1283.37"
"1101302","Mirante da Serra (RO)","Total","1308.19"
"1101401","Monte Negro (RO)","Total","1299.60"
"1101435","Nova União (RO)","Total","1153.35"
"1101450","Parecis (RO)","Total","1217.23"
"1101468","Pimenteiras do Oeste (RO)","Total","1455.54"
"1101476","Primavera de Rondônia (RO)","Total","1313.70"
"1101484","São Felipe D'Oeste (RO)","Total","1217.16"
"1101492","São Francisco do Guaporé (RO)","Total","1233.55"
"1101500","Seringueiras (RO)","Total","1109.08"
"1101559","Teixeirópolis (RO)","Total","1519.90"
"1101609","Theobroma (RO)","Total","1104.79"
"1101708","Urupá (RO)","Total","1210.65"
"1101757","Vale do Anari (RO)","Total","1127.71"
"1101807","Vale do Paraíso (RO)","Total","1253.91"
"1200013","Acrelândia (AC)","Total","1102.34"
"1200054","Assis Brasil (AC)","Total","1063.68"
"1200104","Brasiléia (AC)","Total","1207.85"
"1200138","Bujari (AC)","Total","1146.95"
"1200179","Capixaba (AC)","Total","1109.00"
"1200203","Cruzeiro do Sul (AC)","Total","1498.62"
"1200252","Epitaciolândia (AC)","Total","1245.42"
"1200302","Feijó (AC)","Total","922.40"
"1200328","Jordão (AC)","Total","772.05"
"1200336","Mâncio Lima (AC)","Total","1008.18"
"1200344","Manoel Urbano (AC)","Total","1139.12"
"1200351","Marechal Thaumaturgo (AC)","Total","698.91"
"1200385","Plácido de Castro (AC)","Total","1079.63"
"1200393","Porto Walter (AC)","Total","852.76"
"1200401","Rio Branco (AC)","Total","2181.42"
"1200427","Rodrigues Alves (AC)","Total","744.67"
"1200435","Santa Rosa do Purus (AC)","Total","1012.32"
"1200450","Senador Guiomard (AC)","Total","1319.76"
"1200500","Sena Madureira (AC)","Total","1241.08"
"1200609","Tarauacá (AC)","Total","1077.08"
"1200708","Xapuri (AC)","Total","1118.53"
"1200807","Porto Acre (AC)","Total","897.43"
"1300029","Alvarães (AM)","Total","898.56"
"1300060","Amaturá (AM)","Total","848.46"
"1300086","Anamã (AM)","Total","1087.20"
"1300102","Anori (AM)","Total","1082.61"
"1300144","Apuí (AM)","Total","1173.55"
"1300201","Atalaia do Norte (AM)","Total","753.29"
"1300300","Autazes (AM)","Total","974.12"
"1300409","Barcelos (AM)","Total","898.64"
"1300508","Barreirinha (AM)","Total","763.35"
"1300607","Benjamin Constant (AM)","Total","1015.34"
"1300631","Beruri (AM)","Total","945.32"
"1300680","Boa Vista do Ramos (AM)","Total","824.40"
"1300706","Boca do Acre (AM)","Total","1013.89"
"1300805","Borba (AM)","Total","848.60"
"1300839","Caapiranga (AM)","Total","1014.02"
"1300904","Canutama (AM)","Total","833.57"
"1301001","Carauari (AM)","Total","988.09"
"1301100","Careiro (AM)","Total","815.70"
"1301159","Careiro da Várzea (AM)","Total","789.84"
"1301209","Coari (AM)","Total","1285.38"
"1301308","Codajás (AM)","Total","1022.12"
"1301407","Eirunepé (AM)","Total","965.07"
"1301506","Envira (AM)","Total","859.74"
"1301605","Fonte Boa (AM)","Total","1004.35"
"1301654","Guajará (AM)","Total","863.27"
"1301704","Humaitá (AM)","Total","1288.12"
"1301803","Ipixuna (AM)","Total","798.88"
"1301852","Iranduba (AM)","Total","1151.69"
"1301902","Itacoatiara (AM)","Total","1306.75"
"1301951","Itamarati (AM)","Total","624.73"
"1302009","Itapiranga (AM)","Total","1184.60"
"1302108","Japurá (AM)","Total","1164.07"
"1302207","Juruá (AM)","Total","966.77"
"1302306","Jutaí (AM)","Total","901.75"
"1302405","Lábrea (AM)","Total","858.85"
"1302504","Manacapuru (AM)","Total","1287.46"
"1302553","Manaquiri (AM)","Total","899.21"
