"id_municipio","Município","population_density"
"1100015","Alta Floresta D'Oeste (RO)","3.45"
"1100023","Ariquemes (RO)","20.41"
"1100031","Cabixi (RO)","4.80"
"1100049","Cacoal (RO)","20.72"
"1100056","Cerejeiras (RO)","6.12"
"1100064","Colorado do Oeste (RO)","12.81"
"1100072","Corumbiara (RO)","2.87"
"1100080","Costa Marques (RO)","2.74"
"1100098","Espigão D'Oeste (RO)","6.36"
"1100106","Guajará-Mirim (RO)","1.68"
"1100114","Jaru (RO)","17.66"
"1100122","Ji-Paraná (RO)","16.91"
"1100130","Machadinho D'Oeste (RO)","3.66"
"1100148","Nova Brasilândia D'Oeste (RO)","17.20"
"1100155","Ouro Preto do Oeste (RO)","19.25"
"1100189","Pimenta Bueno (RO)","5.42"
"1100205","Porto Velho (RO)","12.57"
"1100254","Presidente Médici (RO)","12.69"
"1100262","Rio Crespo (RO)","1.93"
"1100288","Rolim de Moura (RO)","34.74"
"1100296","Santa Luzia D'Oeste (RO)","7.42"
"1100304","Vilhena (RO)","6.62"
"1100320","São Miguel do Guaporé (RO)","2.73"
"1100338","Nova Mamoré (RO)","2.24"
"1100346","Alvorada D'Oeste (RO)","5.56"
"1100379","Alto Alegre dos Parecis (RO)","3.24"
"1100403","Alto Paraíso (RO)","6.46"
"1100452","Buritis (RO)","9.92"
"1100502","Novo Horizonte do Oeste (RO)","12.14"
"1100601","Cacaulândia (RO)","2.92"
"1100700","Campo Novo de Rondônia (RO)","3.68"
"1100809","Candeias do Jamari (RO)","2.89"
"1100908","Castanheiras (RO)","4.00"
"1100924","Chupinguaia (RO)","1.62"
"1100940","Cujubim (RO)","4.10"
"1101005","Governador Jorge Teixeira (RO)","2.07"
"1101104","Itapuã do Oeste (RO)","2.10"
"1101203","Ministro Andreazza (RO)","12.97"
"1101302","Mirante da Serra (RO)","9.97"
"1101401","Monte Negro (RO)","7.30"
"1101435","Nova União (RO)","9.28"
"1101450","Parecis (RO)","1.89"
"1101468","Pimenteiras do Oeste (RO)","0.38"
"1101476","Primavera de Rondônia (RO)","5.82"
"1101484","São Felipe D'Oeste (RO)","11.11"
"1101492","São Francisco do Guaporé (RO)","1.46"
"1101500","Seringueiras (RO)","3.08"
"1101559","Teixeirópolis (RO)","10.63"
